order_id;customer_id;order_date;customer_state;customer_city;product_id;product_category;price;freight_value;payment_type;n_installments;delivery_days;review_score;year;month;year_month;weekday;delivery_bucket;product_name;category;base_price;revenue
O029800;C11951;2023-01-01;RJ;Petropolis;P0004;electronique;427,77;28,34;credit_card;2;5;5;2023;1;2023-01;Sunday;4-6j;electronique_item_4;electronique;497,64;456,10999999999996
O021225;C11798;2023-01-01;SP;Guarulhos;P0016;maison;169,26;17,84;credit_card;6;4;4;2023;1;2023-01;Sunday;4-6j;maison_item_4;maison;191,26;187,1
O016127;C05355;2023-01-01;RJ;Rio de Janeiro;P0041;jouets;47,17;10,69;credit_card;3;5;5;2023;1;2023-01;Sunday;4-6j;jouets_item_3;jouets;56,06;57,86
O025785;C01929;2023-01-01;SP;Sao Paulo;P0013;maison;17,73;8,51;boleto;1;4;4;2023;1;2023-01;Sunday;4-6j;maison_item_1;maison;20,22;26,240000000000002
O017692;C10629;2023-01-01;MG;Juiz de Fora;P0010;mode;14,54;9,33;debit_card;1;8;5;2023;1;2023-01;Sunday;7-10j;mode_item_3;mode;17,78;23,869999999999997
O003181;C06645;2023-01-01;SP;Sao Paulo;P0042;jouets;27,58;9,05;credit_card;2;2;4;2023;1;2023-01;Sunday;1-3j;jouets_item_4;jouets;34,13;36,629999999999995
O018338;C05394;2023-01-01;SC;Florianopolis;P0045;alimentation;29,88;9,45;credit_card;1;13;5;2023;1;2023-01;Sunday;11-15j;alimentation_item_2;alimentation;35,07;39,33
O012416;C09258;2023-01-01;SP;Sao Paulo;P0017;maison;18,55;8,54;credit_card;1;8;5;2023;1;2023-01;Sunday;7-10j;maison_item_5;maison;21,98;27,09
O002374;C00555;2023-01-01;SP;Sao Paulo;P0009;mode;92,79;11,62;boleto;1;8;4;2023;1;2023-01;Sunday;7-10j;mode_item_2;mode;110,59;104,41000000000001
O001599;C04606;2023-01-01;PE;Recife;P0044;alimentation;29,47;14,05;credit_card;3;11;2;2023;1;2023-01;Sunday;11-15j;alimentation_item_1;alimentation;33,6;43,519999999999996
O007405;C09734;2023-01-01;PA;Ananindeua;P0015;maison;157,86;21,4;credit_card;1;3;5;2023;1;2023-01;Sunday;1-3j;maison_item_3;maison;192,89;179,26000000000002
O028980;C01561;2023-01-01;SP;Santos;P0018;maison;22,82;9,22;credit_card;1;6;4;2023;1;2023-01;Sunday;4-6j;maison_item_6;maison;26,46;32,04
O019611;C06270;2023-01-01;SP;Sao Paulo;P0030;beaute;34,33;10,0;credit_card;1;3;5;2023;1;2023-01;Sunday;1-3j;beaute_item_5;beaute;40,44;44,33
O024096;C06401;2023-01-01;RS;Porto Alegre;P0037;livres;22,38;9,34;boleto;1;7;4;2023;1;2023-01;Sunday;7-10j;livres_item_5;livres;27,61;31,72
O020369;C03537;2023-01-01;RJ;Rio de Janeiro;P0025;sport;86,95;13,12;credit_card;2;5;5;2023;1;2023-01;Sunday;4-6j;sport_item_7;sport;99,88;100,07000000000001
O016852;C07880;2023-01-01;SP;Guarulhos;P0007;electronique;351,08;24,18;credit_card;2;1;5;2023;1;2023-01;Sunday;1-3j;electronique_item_7;electronique;394,44;375,26
O015607;C10884;2023-01-01;SP;Guarulhos;P0029;beaute;50,31;10,69;boleto;1;4;4;2023;1;2023-01;Sunday;4-6j;beaute_item_4;beaute;56,98;61,0
O009259;C11117;2023-01-01;RJ;Rio de Janeiro;P0036;livres;32,25;8,75;credit_card;1;8;5;2023;1;2023-01;Sunday;7-10j;livres_item_4;livres;37,37;41,0
O010487;C03220;2023-01-01;RS;Caxias do Sul;P0020;sport;67,72;10,38;voucher;1;2;4;2023;1;2023-01;Sunday;1-3j;sport_item_2;sport;77,31;78,1
O023101;C03391;2023-01-01;SP;Sao Paulo;P0038;livres;12,96;9,05;credit_card;2;4;4;2023;1;2023-01;Sunday;4-6j;livres_item_6;livres;14,88;22,01
O005526;C05588;2023-01-01;SC;Florianopolis;P0005;electronique;311,05;22,26;boleto;1;2;5;2023;1;2023-01;Sunday;1-3j;electronique_item_5;electronique;384,37;333,31
O027103;C08205;2023-01-01;SP;Santos;P0047;alimentation;48,3;10,48;credit_card;1;5;5;2023;1;2023-01;Sunday;4-6j;alimentation_item_4;alimentation;58,33;58,78
O020676;C05171;2023-01-01;SC;Florianopolis;P0034;livres;19,7;8,21;credit_card;1;2;5;2023;1;2023-01;Sunday;1-3j;livres_item_2;livres;22,18;27,91
O004815;C11298;2023-01-01;SP;Sao Paulo;P0001;electronique;552,25;32,14;credit_card;1;6;4;2023;1;2023-01;Sunday;4-6j;electronique_item_1;electronique;647,41;584,39
O009189;C07888;2023-01-01;SP;Santos;P0021;sport;110,78;12,96;debit_card;1;4;5;2023;1;2023-01;Sunday;4-6j;sport_item_3;sport;134,55;123,74000000000001
O024272;C07012;2023-01-01;SP;Santos;P0044;alimentation;28,94;10,24;credit_card;10;6;5;2023;1;2023-01;Sunday;4-6j;alimentation_item_1;alimentation;33,6;39,18
O024359;C11413;2023-01-01;RJ;Rio de Janeiro;P0023;sport;169,69;18,07;credit_card;1;4;5;2023;1;2023-01;Sunday;4-6j;sport_item_5;sport;196,03;187,76
O027369;C01852;2023-01-01;SP;Sao Paulo;P0044;alimentation;27,63;8,67;credit_card;1;6;5;2023;1;2023-01;Sunday;4-6j;alimentation_item_1;alimentation;33,6;36,3
O020951;C10445;2023-01-01;RJ;Niteroi;P0044;alimentation;27,92;9,25;boleto;1;5;4;2023;1;2023-01;Sunday;4-6j;alimentation_item_1;alimentation;33,6;37,17
O005777;C10551;2023-01-01;PR;Curitiba;P0028;beaute;60,27;10,08;credit_card;1;8;4;2023;1;2023-01;Sunday;7-10j;beaute_item_3;beaute;69,92;70,35000000000001
O019723;C09332;2023-01-01;SP;Santos;P0038;livres;12,61;8,4;credit_card;1;7;4;2023;1;2023-01;Sunday;7-10j;livres_item_6;livres;14,88;21,009999999999998
O010814;C00140;2023-01-01;RJ;Niteroi;P0025;sport;81,94;13,26;credit_card;1;2;5;2023;1;2023-01;Sunday;1-3j;sport_item_7;sport;99,88;95,2
O011005;C02953;2023-01-01;RS;Caxias do Sul;P0007;electronique;331,64;25,03;debit_card;1;2;5;2023;1;2023-01;Sunday;1-3j;electronique_item_7;electronique;394,44;356,66999999999996
O004550;C01970;2023-01-01;SP;Santos;P0030;beaute;34,94;9,97;boleto;1;2;4;2023;1;2023-01;Sunday;1-3j;beaute_item_5;beaute;40,44;44,91
O022001;C01895;2023-01-01;BA;Feira de Santana;P0025;sport;87,68;16,04;credit_card;6;11;4;2023;1;2023-01;Sunday;11-15j;sport_item_7;sport;99,88;103,72
O022251;C08442;2023-01-01;PA;Ananindeua;P0038;livres;12,05;11,38;credit_card;3;9;4;2023;1;2023-01;Sunday;7-10j;livres_item_6;livres;14,88;23,43
O025912;C07586;2023-01-02;RJ;Rio de Janeiro;P0035;livres;11,63;8,02;credit_card;1;5;5;2023;1;2023-01;Monday;4-6j;livres_item_3;livres;13,91;19,65
O025683;C07898;2023-01-02;MG;Belo Horizonte;P0020;sport;64,78;12,28;credit_card;6;2;5;2023;1;2023-01;Monday;1-3j;sport_item_2;sport;77,31;77,06
O016875;C05672;2023-01-02;PR;Londrina;P0010;mode;14,63;8,35;credit_card;1;6;3;2023;1;2023-01;Monday;4-6j;mode_item_3;mode;17,78;22,98
O004635;C01315;2023-01-02;SP;Santos;P0023;sport;161,91;14,55;credit_card;1;9;4;2023;1;2023-01;Monday;7-10j;sport_item_5;sport;196,03;176,46
O027000;C04704;2023-01-02;SP;Guarulhos;P0025;sport;89,11;13,19;credit_card;2;1;4;2023;1;2023-01;Monday;1-3j;sport_item_7;sport;99,88;102,3
O017008;C08643;2023-01-02;SP;Guarulhos;P0038;livres;12,54;8,76;credit_card;1;1;5;2023;1;2023-01;Monday;1-3j;livres_item_6;livres;14,88;21,299999999999997
O026812;C03881;2023-01-02;RJ;Petropolis;P0040;jouets;29,22;9,01;credit_card;1;6;5;2023;1;2023-01;Monday;4-6j;jouets_item_2;jouets;33,2;38,23
O015293;C04144;2023-01-02;MG;Belo Horizonte;P0001;electronique;566,29;39,77;credit_card;3;1;5;2023;1;2023-01;Monday;1-3j;electronique_item_1;electronique;647,41;606,06
O014186;C06026;2023-01-02;RJ;Niteroi;P0045;alimentation;29,67;9,43;boleto;1;6;3;2023;1;2023-01;Monday;4-6j;alimentation_item_2;alimentation;35,07;39,1
O022151;C08551;2023-01-02;SP;Sao Paulo;P0028;beaute;60,29;10,79;credit_card;3;7;5;2023;1;2023-01;Monday;7-10j;beaute_item_3;beaute;69,92;71,08
O021496;C11491;2023-01-02;SP;Campinas;P0026;beaute;64,13;11,66;credit_card;1;9;3;2023;1;2023-01;Monday;7-10j;beaute_item_1;beaute;78,79;75,78999999999999
O018370;C07390;2023-01-02;SP;Santos;P0004;electronique;428,82;31,22;credit_card;2;7;3;2023;1;2023-01;Monday;7-10j;electronique_item_4;electronique;497,64;460,03999999999996
O020777;C03107;2023-01-02;SP;Sao Paulo;P0028;beaute;60,59;11,3;voucher;1;5;5;2023;1;2023-01;Monday;4-6j;beaute_item_3;beaute;69,92;71,89
O023422;C10762;2023-01-02;SP;Santos;P0007;electronique;350,92;26,95;credit_card;1;5;5;2023;1;2023-01;Monday;4-6j;electronique_item_7;electronique;394,44;377,87
O002741;C00063;2023-01-02;SP;Sao Paulo;P0035;livres;11,98;9,44;debit_card;1;7;3;2023;1;2023-01;Monday;7-10j;livres_item_3;livres;13,91;21,42
O025103;C11388;2023-01-02;SP;Santos;P0041;jouets;49,1;9,51;credit_card;2;6;2;2023;1;2023-01;Monday;4-6j;jouets_item_3;jouets;56,06;58,61
O013009;C01528;2023-01-02;SP;Santos;P0028;beaute;58,97;11,97;credit_card;1;7;3;2023;1;2023-01;Monday;7-10j;beaute_item_3;beaute;69,92;70,94
O019439;C09847;2023-01-02;SP;Campinas;P0032;beaute;66,05;12,3;credit_card;1;11;5;2023;1;2023-01;Monday;11-15j;beaute_item_7;beaute;75,84;78,35
O022719;C11388;2023-01-02;CE;Fortaleza;P0035;livres;12,4;10,94;boleto;1;10;4;2023;1;2023-01;Monday;7-10j;livres_item_3;livres;13,91;23,34
O010959;C06529;2023-01-02;MG;Uberlandia;P0020;sport;63,53;11,8;debit_card;1;3;4;2023;1;2023-01;Monday;1-3j;sport_item_2;sport;77,31;75,33
O019981;C05875;2023-01-02;RJ;Niteroi;P0025;sport;88,95;12,86;credit_card;2;5;3;2023;1;2023-01;Monday;4-6j;sport_item_7;sport;99,88;101,81
