product_id,product_name,category,base_price
P0001,electronique_item_1,electronique,647.41
P0002,electronique_item_2,electronique,187.58
P0003,electronique_item_3,electronique,634.77
P0004,electronique_item_4,electronique,497.64
P0005,electronique_item_5,electronique,384.37
P0006,electronique_item_6,electronique,124.98
P0007,electronique_item_7,electronique,394.44
P0008,mode_item_1,mode,96.15
P0009,mode_item_2,mode,110.59
P0010,mode_item_3,mode,17.78
P0011,mode_item_4,mode,145.94
P0012,mode_item_5,mode,127.38
P0013,maison_item_1,maison,20.22
P0014,maison_item_2,maison,297.82
P0015,maison_item_3,maison,192.89
P0016,maison_item_4,maison,191.26
P0017,maison_item_5,maison,21.98
P0018,maison_item_6,maison,26.46
P0019,sport_item_1,sport,254.44
P0020,sport_item_2,sport,77.31
P0021,sport_item_3,sport,134.55
P0022,sport_item_4,sport,162.39
P0023,sport_item_5,sport,196.03
P0024,sport_item_6,sport,319.44
P0025,sport_item_7,sport,99.88
P0026,beaute_item_1,beaute,78.79
P0027,beaute_item_2,beaute,41.61
P0028,beaute_item_3,beaute,69.92
P0029,beaute_item_4,beaute,56.98
P0030,beaute_item_5,beaute,40.44
P0031,beaute_item_6,beaute,8.96
P0032,beaute_item_7,beaute,75.84
P0033,livres_item_1,livres,42.34
P0034,livres_item_2,livres,22.18
P0035,livres_item_3,livres,13.91
P0036,livres_item_4,livres,37.37
P0037,livres_item_5,livres,27.61
P0038,livres_item_6,livres,14.88
P0039,jouets_item_1,jouets,102.49
P0040,jouets_item_2,jouets,33.2
P0041,jouets_item_3,jouets,56.06
P0042,jouets_item_4,jouets,34.13
P0043,jouets_item_5,jouets,94.31
P0044,alimentation_item_1,alimentation,33.6
P0045,alimentation_item_2,alimentation,35.07
P0046,alimentation_item_3,alimentation,15.17
P0047,alimentation_item_4,alimentation,58.33
P0048,alimentation_item_5,alimentation,47.63
P0049,alimentation_item_6,alimentation,56.67
